Year,Month,Day,TSU,EQ,Name,Location,Country,Lat,Lon,Elevation,Type,Deaths
1825,,,NO,NO,Balbi,Bougainville-SW Paci,Papua New Guinea,-5.83,154.98,2715,Stratovolcano,
1826,10,11,NO,NO,Dieng Volc Complex,Java,Indonesia,-7.20,109.92,2565,Complex volcano,
1826,10,11,NO,NO,Kelut,Java,Indonesia,-7.93,112.31,1731,Stratovolcano,
1826,10,,NO,NO,Aso,Kyushu-Japan,Japan,32.88,131.10,1592,Caldera,
1827,6,27,YES,YES,Avachinsky,Kamchatka,Russia,53.26,158.83,2741,Stratovolcano,
1827,8,9,NO,NO,Avachinsky,Kamchatka,Russia,53.26,158.83,2741,Stratovolcano,
1829,,,NO,NO,Guntur,Java,Indonesia,-7.13,107.83,2249,Complex volcano,
1832,12,25,NO,NO,Merapi,Java,Indonesia,-7.54,110.44,2947,Stratovolcano,
1832,11,1,NO,NO,Etna,Italy,Italy,37.73,15.00,3350,Stratovolcano,
1833,11,24,NO,NO,Kaba,Sumatra,Indonesia,-3.52,102.62,1952,Stratovolcano,32
1835,1,20,NO,NO,Cosiguina,Nicaragua,Nicaragua,12.98,-87.57,872,Stratovolcano,126
1835,11,1,NO,NO,Banda Api,Banda Sea,Pacific Ocean,-4.53,129.87,640,Caldera,
1837,9,,YES,YES,Peuet Sague,Sumatra,Indonesia,4.91,96.33,2801,Complex volcano,
1838,2,26,NO,NO,Gamalama,Halmahera-Indonesia,Indonesia,0.80,127.33,1715,Stratovolcano,
1839,2,12,YES,NO,Unnamed,Chile-Is,Chile,-33.62,-76.83,-642,Submarine volcano,4
1840,2,2,YES,YES,Gamalama,Halmahera-Indonesia,Indonesia,0.80,127.33,1715,Stratovolcano,
1840,5,30,YES,NO,Kilauea,Hawaiian Is,United States,19.43,-155.29,1222,Shield volcano,
1840,7,2,NO,NO,Ararat,Turkey,Turkey,39.70,44.28,5165,Stratovolcano,
1840,,,NO,NO,Savo,Solomon Is-SW Pacifi,Solomon Is.,-9.13,159.82,510,Stratovolcano,1900
1840,,,NO,NO,Tinakula,Santa Cruz Is-SW Pac,Solomon Is.,-10.38,165.80,851,Stratovolcano,
1841,4,,NO,NO,Kuchinoerabu-jima,Ryukyu Is,Japan,30.43,130.22,649,Stratovolcano,
1843,2,8,YES,NO,Liamuiga,W Indies,St. Kitts & Nevis,17.37,-62.80,1156,Stratovolcano,
1843,2,17,YES,NO,Soufriere Guadeloupe,W Indies,Guadeloupe,16.05,-61.67,1467,Stratovolcano,4
1843,11,17,NO,NO,Etna,Italy,Italy,37.73,15.00,3350,Stratovolcano,
1843,8,,NO,NO,Lamongan,Java,Indonesia,-8.00,113.34,1651,Stratovolcano,
1845,2,8,YES,YES,Soputan,Sulawesi-Indonesia,Indonesia,1.11,124.73,1784,Stratovolcano,118
1845,2,19,NO,NO,Ruiz,Colombia,Colombia,4.90,-75.32,5321,Stratovolcano,56
1845,9,2,NO,NO,Hekla,Iceland-S,Iceland,63.98,-19.70,1491,Stratovolcano,1000
